external_risk_estimate,months_since_oldest_trade_open,months_since_most_recent_trade_open,average_months_in_file,num_satisfactory_trades,num_trades_60_ever_2_derog_pub_rec,num_trades_90_ever_2_derog_pub_rec,percent_trades_never_delq,months_since_most_recent_delq,num_trades_open_in_last_12m,months_since_most_recent_inqexcl7days,num_inq_last_6m,num_inq_last_6m_excl7days,net_fraction_revolving_burden,net_fraction_install_burden,num_bank_2_natl_trades_w_high_utilization,debt_to_income,emp_length,loan_amount,total_credit_limit,current_installment_accounts,paid_total,num_mort_accounts,account_never_delinq_percent,balance,num_historical_failed_to_pay,num_total_cc_accounts,num_cc_carrying_balance,age,monthly_income,number_of_dependents,number_real_estate_loans_or_lines,revolving_utilization_of_unsecured_lines,is_bad
78,340,8,106,25,0,0,96,7,1,4,1,1,6,77,0,7.44,7.44,7500,425502,1,7535.8040851622,5,97.6,0.0,0,19,0,58,3583.0,1.0,3,0.735473758,1
58,183,32,95,8,8,8,67,3,0,-8,0,0,0,-8,0,18.73,18.73,20000,368376,2,2643.48,1,86.7,18114.51,0,22,9,25,3992.0,2.0,0,0.9999999,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,26.29,26.29,12000,78177,2,3629.38,0,95.2,9052.78,0,19,10,62,6083.0,1.0,2,0.664174058,1
63,178,3,37,15,0,0,100,-7,3,0,2,2,84,-8,3,8.78,8.78,40000,787370,2,6229.13,5,90.0,34997.78,0,12,2,47,11000.0,0.0,1,0.243553806,1
65,209,10,103,12,11,11,81,48,2,-7,2,2,40,-8,0,17.88,17.88,8000,541153,1,803.33,8,53.3,7450.02,0,4,4,62,2200.0,0.0,0,0.418990912,1
67,171,7,23,23,0,0,100,-7,4,-7,1,1,65,92,4,12.0,12.0,3400,215613,0,548.95,3,93.8,2988.58,0,12,8,77,2159.0,0.0,0,0.9999999,1
71,86,3,31,22,0,0,100,-7,8,0,3,2,64,91,1,11.33,11.33,8000,153693,1,8170.5140474144,2,86.7,0.0,0,11,3,30,3260.0,1.0,0,0.4546851,1
69,138,68,92,6,0,0,83,17,0,0,0,0,84,-8,1,13.95,13.95,30000,169328,3,2441.64,1,82.0,29145.31,0,19,5,32,2400.0,0.0,0,0.820080267,1
73,201,4,59,9,0,0,100,-7,4,2,4,4,38,85,2,8.95,8.95,39275,427803,2,3923.24,5,87.5,36468.01,0,19,13,47,5833.0,2.0,4,0.246209386,1
54,117,7,63,18,2,1,77,3,1,0,0,0,26,93,1,16.44,16.44,8000,101714,7,967.92,0,97.0,7181.26,0,28,7,34,0.0,0.0,0,0.977551405,1
88,313,14,116,5,0,0,100,-7,0,10,0,0,13,-8,0,19.78,19.78,6000,496716,2,992.3,4,85.7,5289.39,0,17,4,40,4397.0,0.0,0,0.08683928,1
60,198,19,57,19,0,0,90,6,0,-7,0,0,71,71,1,31.22,0.0,15000,279193,2,1036.99,5,100.0,14472.78,0,19,7,54,3368.0,2.0,2,0.72278005,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,13.38,13.38,10000,154182,0,1668.59,3,85.2,8825.79,0,20,6,38,6100.0,2.0,0,0.779240326,1
83,176,13,89,25,1,0,93,34,0,3,2,2,0,-8,0,24.57,24.57,14400,198390,2,1903.29,6,93.1,13042.46,0,10,4,62,2300.0,2.0,2,0.869048685,1
66,145,8,81,13,1,1,71,15,1,0,1,0,0,64,-8,2.78,2.78,6500,41300,0,617.22,0,91.3,6025.5,0,17,2,42,0.0,0.0,0,0.463443376,1
58,29,2,18,10,0,0,91,13,2,0,10,10,55,78,1,9.46,9.46,7200,60070,2,1164.58,0,83.3,6328.85,0,25,7,58,0.0,0.0,1,0.9999999,1
73,214,16,97,27,0,0,96,46,0,0,4,4,35,77,1,14.34,0.0,13000,74295,1,917.0,0,81.8,12519.13,0,21,3,60,10073.0,0.0,3,0.932005787,1
69,214,3,82,27,0,0,87,32,2,0,2,2,94,76,2,6.72,6.72,12000,211700,0,1819.39,3,91.3,10460.98,0,20,11,64,0.0,0.0,0,0.426294821,1
62,193,3,78,15,2,2,100,-7,2,0,3,3,99,38,3,6.7,6.7,40000,561448,4,6246.84,3,88.9,34997.78,0,8,3,49,7015.0,0.0,6,0.364390379,1
81,139,17,175,17,0,0,89,-8,0,0,1,1,1,22,0,23.2,23.2,10000,203447,2,1169.95,2,76.5,9421.91,0,9,5,28,4500.0,0.0,0,1.0,1
77,191,4,76,20,0,0,100,-7,2,0,3,2,69,17,1,13.78,13.78,5000,94858,4,5162.0649399242,0,80.0,0.0,0,29,9,56,5416.0,0.0,3,0.9999999,1
52,216,3,63,17,1,1,88,2,4,1,4,4,78,-8,4,35.32,35.32,22325,182878,4,4069.85,0,93.5,19926.87,1,37,4,40,0.0,0.0,0,0.9999999,1
71,358,9,97,39,0,0,100,-7,1,0,0,0,29,2,2,16.3,16.3,9600,43799,11,1227.21,0,89.7,8668.48,0,7,4,40,4600.0,3.0,1,0.980245508,1
72,118,4,55,14,0,0,100,-7,2,-7,1,1,76,-8,3,3.67,3.67,5600,339000,0,961.99,2,73.3,4964.06,0,11,8,25,3000.0,4.0,0,0.9999999,1
93,146,13,159,11,0,0,100,-7,0,-8,0,0,0,-8,0,14.58,14.58,2000,22887,3,359.84,0,87.5,1782.19,0,4,4,65,8000.0,1.0,0,0.201208056,1
74,191,1,64,18,0,0,89,13,4,0,3,3,12,86,1,19.26,19.26,13000,116736,10,13079.5596462136,0,87.2,0.0,0,10,3,36,4181.0,0.0,0,0.9999999,1
69,84,4,97,12,0,0,71,28,2,-7,1,1,54,-8,2,14.58,14.58,2000,22887,3,359.84,0,87.5,1782.19,0,4,4,53,10167.0,4.0,2,0.242342832,1
58,372,45,178,5,8,7,29,4,0,-7,1,1,55,-8,0,24.63,0.0,3000,80248,1,320.11,1,71.4,2805.2,0,2,1,52,1700.0,0.0,1,1.0,1
79,190,3,53,27,0,0,100,-7,2,-7,0,0,55,-8,1,28.87,28.87,27000,78254,2,3653.16,0,96.9,24528.73,0,30,11,30,4300.0,2.0,0,0.503930131,1
44,59,2,26,18,3,2,81,3,3,0,5,5,77,58,0,12.25,12.25,12000,155166,1,1471.99,2,91.4,11593.18,1,15,2,44,7500.0,5.0,4,0.691191312,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,8.38,8.38,16000,61965,3,2098.31,0,65.6,14447.45,0,16,4,65,0.0,0.0,0,0.0005321,1
64,180,2,83,33,2,1,78,11,2,-7,0,0,19,56,1,26.52,26.52,5000,223299,5,522.98,1,92.9,4668.31,0,9,9,54,10416.0,0.0,1,0.9999999,1
64,199,23,69,18,1,1,89,18,0,0,2,2,51,0,2,9.73,9.73,2000,79622,2,196.57,0,87.5,1859.35,0,6,4,37,6100.0,0.0,0,0.9999999,1
61,97,18,57,5,3,2,44,16,0,-7,0,0,73,-8,1,17.41,17.41,31200,317853,12,3514.44,4,91.3,29942.55,0,5,2,36,2760.0,4.0,0,0.9999999,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,38.15,38.15,30000,155770,5,3243.33,2,90.0,28080.46,0,10,4,48,6200.0,2.0,2,0.989357036,1
72,165,3,69,19,0,0,84,9,3,0,3,3,0,95,0,15.8,15.8,25000,248423,3,2563.3,4,67.7,23976.58,0,20,5,45,2500.0,2.0,0,0.481768996,1
69,180,9,101,30,1,1,100,-7,2,16,0,0,25,-8,1,2.86,2.86,25000,10700,0,1634.3,0,85.7,24071.97,0,7,4,49,0.0,0.0,1,1.0,1
73,85,6,38,10,0,0,100,-7,2,0,1,1,81,-8,0,16.79,16.79,6600,354858,3,843.72,4,87.5,5959.57,0,17,8,32,0.0,0.0,0,0.9999999,1
68,75,2,30,27,0,0,100,-7,6,5,0,0,30,65,0,13.62,13.62,9600,266600,1,958.28,2,61.5,8930.65,0,7,3,42,0.0,0.0,0,0.895956295,1
74,271,10,76,22,0,0,100,-7,1,0,0,0,70,43,3,25.23,25.23,20000,55732,2,1982.37,0,95.7,18605.56,0,15,2,66,4000.0,0.0,1,0.085640373,1
62,93,3,33,21,0,0,86,6,3,3,1,1,53,88,1,28.52,28.52,35000,614223,4,4462.36,2,92.9,31580.53,0,6,3,66,1668.0,0.0,0,0.07023025,1
75,355,12,111,21,1,1,87,46,0,-7,2,2,50,64,2,19.09,19.09,25000,388312,2,1563.38,3,95.0,24021.61,0,11,3,37,3160.0,2.0,0,1.0,1
67,176,6,63,47,0,0,98,-8,3,-7,1,1,74,40,1,20.26,20.26,1000,45979,1,108.12,0,70.0,936.01,0,7,3,42,22000.0,2.0,2,0.967800716,1
70,122,2,43,13,0,0,100,-7,2,2,1,1,52,46,2,15.77,15.77,28000,92260,0,3025.03,6,96.7,26914.94,0,19,7,61,6000.0,0.0,2,0.886259478,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,17.3,17.3,5000,87221,2,353.41,1,87.5,4737.54,0,15,5,41,0.0,0.0,1,0.950078241,1
68,215,3,60,28,0,0,96,62,5,-7,4,4,59,64,3,26.13,26.13,30000,405935,5,5397.3,1,96.4,26733.24,0,28,2,40,7000.0,3.0,0,0.872142014,1
73,255,16,100,40,0,0,100,-7,0,0,1,1,79,-8,13,6.37,6.37,22900,363600,0,2981.12,2,58.8,20708.13,0,15,8,36,0.0,0.0,0,0.9999999,1
66,115,15,64,13,2,1,93,41,0,0,5,4,66,-8,2,17.99,17.99,12000,175000,1,12415.648089008,3,94.7,0.0,0,30,18,54,3300.0,3.0,0,1.0,1
59,333,3,94,23,1,0,67,3,2,0,1,1,11,-8,2,16.44,16.44,8000,101714,7,967.92,0,97.0,7181.26,0,28,7,27,1500.0,0.0,0,0.981277592,1
59,-8,0,53,2,5,4,50,4,1,-7,0,0,20,-8,0,27.59,27.59,15000,412967,4,641.7,1,100.0,14620.0,0,12,2,39,6524.0,2.0,2,1.0,1
74,378,15,120,15,0,0,93,19,0,0,0,0,59,-8,2,0.0,0.0,20000,11800,0,20582.4318597278,0,50.0,0.0,0,3,0,36,5506.0,0.0,1,0.191400717,1
65,187,6,86,31,0,0,94,17,1,0,1,1,58,77,4,9.11,9.11,20000,360366,0,3307.68,2,77.8,17631.3,0,14,5,55,2100.0,0.0,1,1.0,1
67,96,15,63,20,0,0,75,2,0,0,0,0,4,78,0,13.08,13.08,6000,190763,1,1053.94,2,66.7,5318.67,1,8,3,54,6200.0,1.0,3,0.281131894,1
75,340,2,111,19,1,0,96,78,2,0,1,1,41,-8,1,8.45,8.45,10000,28200,0,1274.96,1,83.3,9023.01,0,8,4,30,2700.0,0.0,0,0.66787865,1
72,26,2,13,12,0,0,100,-7,6,2,3,2,20,89,0,24.99,0.0,10000,94367,2,647.78,0,88.9,9525.68,0,12,2,59,3300.0,0.0,6,0.020147402,1
61,215,14,120,16,0,0,89,4,0,0,2,2,45,-8,2,35.5,35.5,11600,71500,3,1786.74,0,92.9,10678.79,0,32,10,33,4750.0,2.0,0,0.9999999,1
81,172,8,58,23,0,0,100,-7,1,0,0,0,17,-8,0,27.01,27.01,38000,56168,1,2509.44,0,95.8,36589.38,0,19,4,30,5900.0,0.0,2,0.102195584,1
59,218,10,90,28,3,2,87,13,2,-7,2,2,91,-8,1,16.34,16.34,13000,245166,2,1170.48,1,95.5,11993.82,0,13,6,46,2700.0,0.0,1,0.9999999,1
74,340,11,74,21,0,0,95,20,1,0,1,1,33,81,1,29.28,29.28,11800,287168,4,1446.74,1,86.0,11129.56,0,22,4,40,1520.0,1.0,1,0.218919818,1
77,140,2,73,15,0,0,88,12,2,0,1,1,17,64,-8,29.18,29.18,18000,177705,3,1443.13,3,94.9,17487.19,1,22,17,53,8775.0,1.0,1,0.814600339,1
77,215,10,85,35,0,0,97,29,1,-8,0,0,40,-8,3,3.41,3.41,20000,3386034,6,1517.84,1,85.7,19374.64,0,10,5,50,6291.0,2.0,0,0.997667444,1
78,83,12,66,22,1,0,91,26,0,13,0,0,31,85,0,7.5,7.5,29000,38110,2,4690.61,0,73.9,25491.28,0,14,3,59,5000.0,0.0,0,0.015127845,1
82,123,13,63,17,0,0,100,-7,0,0,0,0,55,63,0,10.5,10.5,6000,270485,1,977.26,3,87.1,5278.86,0,11,3,26,2200.0,1.0,0,0.546775658,1
63,200,18,79,16,0,0,82,3,0,9,0,0,31,68,1,33.19,33.19,20000,487267,8,2021.7,5,97.7,18635.65,1,20,5,54,2000.0,0.0,0,0.9999999,1
60,142,18,82,12,3,2,59,5,0,0,2,2,2,19,-8,27.22,27.22,25000,332270,9,25008.9662500001,4,97.8,0.0,1,26,7,36,3960.0,2.0,0,1.0,1
72,-8,2,70,16,0,0,100,-7,1,0,3,3,68,66,2,9.1,9.1,7000,717769,1,677.64,3,96.6,6496.14,0,19,7,40,0.0,0.0,0,0.9999999,1
83,282,17,70,19,0,0,100,-7,0,0,0,0,5,34,0,26.24,26.24,35000,504331,5,3257.88,3,100.0,32391.26,0,8,5,41,4818.0,3.0,0,0.588426447,1
94,203,12,125,9,0,0,100,-7,0,0,0,0,0,-8,0,21.9,21.9,35000,105963,2,5059.99,2,86.0,32016.12,0,9,7,62,6500.0,3.0,2,0.551206106,1
57,104,5,52,26,0,0,88,5,3,0,3,3,36,58,1,9.73,9.73,17500,67591,1,2512.28,1,68.4,16719.73,0,13,7,71,5100.0,0.0,3,0.118690488,1
75,234,6,104,31,0,0,97,18,3,-7,2,2,44,-8,3,24.86,24.86,24000,166687,15,1995.07,0,95.6,23335.89,0,15,9,67,15716.0,0.0,1,0.029580868,1
68,39,7,24,7,0,0,100,-7,2,0,1,0,85,-8,2,21.36,21.36,20000,258439,2,2874.57,3,92.3,18270.81,0,8,4,72,6657.0,0.0,3,0.31898275,1
66,173,5,89,2,0,0,50,65,1,0,13,12,66,98,-8,30.8,30.8,3300,49118,8,373.33,0,77.8,3099.31,0,10,2,39,3500.0,2.0,2,1.0,1
75,174,11,116,27,2,2,100,-7,1,-7,1,1,13,55,0,9.52,9.52,40000,253159,1,3819.07,5,95.8,37080.14,0,13,3,76,6460.0,0.0,2,0.004255206,1
57,164,8,66,34,19,19,94,28,1,-7,0,0,14,68,0,13.02,13.02,10000,306389,2,720.83,2,90.0,9666.11,0,8,4,51,9650.0,0.0,2,0.070327757,1
58,146,3,48,23,1,0,80,22,6,-7,1,1,61,85,1,17.98,17.98,15000,885268,6,1402.68,7,87.2,13881.81,0,11,5,57,3456.0,1.0,1,0.81054584,1
76,210,1,108,57,0,0,100,-7,3,0,4,4,51,51,4,11.6,11.6,17000,146759,1,1555.31,2,77.8,15710.01,0,6,3,49,581.0,0.0,2,0.97015207,1
57,360,6,124,40,3,0,93,2,2,7,0,0,60,39,1,74.86,74.86,10000,51689,2,1081.12,0,80.0,9360.14,1,5,3,30,800.0,1.0,0,0.328835582,1
73,269,14,91,28,0,0,97,-8,0,0,0,0,49,70,2,28.99,28.99,3000,110147,2,317.19,0,96.3,2805.21,0,24,18,30,4200.0,2.0,0,1.0,1
59,107,3,42,25,0,0,96,3,5,1,2,2,48,80,2,22.95,22.95,16000,272592,2,1479.01,3,95.7,15245.74,0,13,7,61,1240.0,0.0,0,0.9999999,1
56,349,2,83,35,0,0,89,21,7,0,3,3,74,83,6,4.65,4.65,4000,189933,1,360.17,5,100.0,3690.38,0,14,2,39,5800.0,2.0,0,0.798571965,1
65,107,7,48,40,0,0,100,-7,4,0,2,2,80,86,4,16.98,16.98,4000,53891,8,676.53,0,25.0,3539.64,0,4,2,47,9987.0,2.0,2,0.44584215,1
72,243,11,184,30,0,0,97,46,1,-8,1,0,62,56,3,12.57,12.57,23100,272880,0,1042.0,1,90.0,22540.56,0,8,4,69,1800.0,0.0,0,0.959329602,1
69,125,2,60,7,2,2,80,38,3,0,5,3,52,93,1,21.31,21.31,30000,50926,1,4671.83,4,85.7,26248.35,0,6,2,55,3975.0,1.0,1,0.317121919,1
66,161,15,65,26,1,0,81,8,0,4,3,3,21,79,0,10.32,10.32,11200,186869,2,1373.42,4,94.1,10063.78,0,5,3,76,4600.0,0.0,0,0.163540998,1
54,366,5,74,27,0,0,93,3,2,0,1,1,87,-8,5,17.43,17.43,18000,32347,1,2310.95,0,66.7,16253.39,0,7,4,62,2769.0,0.0,0,0.9999999,1
66,40,4,20,11,0,0,100,-7,3,-7,4,4,69,94,1,11.62,11.62,8500,50939,2,787.87,2,90.9,7860.74,0,8,3,56,1900.0,1.0,0,0.907928926,1
78,79,33,58,9,0,0,78,9,0,0,0,0,3,-8,0,21.34,21.34,12000,74254,1,829.6,1,88.5,11578.21,0,18,3,40,0.0,1.0,1,0.807236367,1
65,206,5,68,30,0,0,97,6,1,1,1,1,63,73,1,8.68,8.68,10000,26889,1,1041.86,1,92.0,9312.56,1,21,5,47,0.0,0.0,0,0.582237619,1
62,-8,14,45,9,5,4,82,29,0,-7,1,1,28,-8,0,7.45,7.45,30000,341714,0,2290.78,4,68.8,29086.36,0,10,4,55,3958.0,0.0,2,0.657785231,1
68,182,19,94,19,0,0,90,2,0,0,3,3,5,48,0,26.14,26.14,30000,502679,5,3404.04,5,80.0,28912.22,0,26,11,23,500.0,0.0,0,0.9999999,1
64,254,2,95,75,2,1,95,4,2,-7,2,2,21,55,3,10.49,10.49,30000,442958,3,3449.57,1,77.8,28222.27,0,14,0,57,3190.0,0.0,2,0.032858043,1
60,63,7,31,5,1,1,83,25,1,0,2,2,91,83,1,7.25,7.25,15000,17400,2,0.0,0,80.0,15000.0,0,3,0,47,5101.0,3.0,2,0.0,1
64,162,14,47,9,1,1,80,6,0,0,0,0,88,66,2,15.02,15.02,10000,57100,7,663.68,0,84.0,9522.21,0,7,4,62,5832.0,2.0,0,0.9999999,1
62,282,13,99,24,4,3,70,18,0,0,0,0,29,-8,1,6.73,6.73,15600,32300,0,15945.6701146245,1,96.7,0.0,0,28,4,48,2500.0,0.0,0,0.9999999,1
75,242,1,99,27,1,0,93,19,2,-7,0,0,14,63,0,7.88,7.88,4800,24438,3,512.12,0,94.4,4488.37,0,13,4,55,4333.0,0.0,1,0.9999999,1
65,140,14,49,12,1,1,100,-7,0,0,0,0,66,-8,0,15.57,15.57,13500,288456,2,1679.26,3,97.6,11981.11,0,25,12,47,8800.0,1.0,4,0.675436647,1
57,160,1,70,6,3,2,45,13,1,0,2,2,64,52,1,22.52,22.52,20000,122679,2,1829.42,2,81.8,19045.42,0,6,1,52,18500.0,1.0,5,0.083958818,1
69,124,5,51,29,0,0,100,-7,4,-7,1,1,51,76,1,13.25,13.25,16800,558733,4,1676.96,2,92.0,15628.67,1,16,9,36,6430.0,2.0,0,1.0,1
65,138,7,36,5,1,1,100,-7,3,1,2,2,79,-8,2,24.19,24.19,10000,342794,4,1397.78,1,96.4,9109.69,0,12,4,37,0.0,1.0,2,0.367621611,1
91,387,68,143,8,0,0,100,-7,0,0,0,0,20,-8,1,7.24,7.24,20000,912840,2,8307.68,2,94.4,12564.53,0,8,5,49,9617.0,0.0,1,0.53442774,1
68,115,6,71,14,0,0,100,-7,2,0,5,4,83,-8,8,19.71,19.71,11300,322264,7,1398.31,1,97.9,10163.54,0,22,15,83,5300.0,0.0,0,0.255450308,1
65,194,15,95,19,0,0,95,4,0,0,4,4,51,-8,2,13.14,0.0,14375,51300,0,918.11,0,90.9,13826.24,0,7,3,58,5200.0,0.0,0,1.0,1
59,219,1,70,9,2,2,62,20,2,-7,1,1,45,-8,3,21.86,21.86,20000,220707,1,1965.68,1,82.4,18592.74,0,7,3,53,10514.0,0.0,3,0.018542327,1
60,16,7,12,2,1,1,100,-7,1,0,0,0,-8,89,-8,10.94,10.94,19000,39182,1,2730.82,3,89.3,17357.3,0,22,8,28,0.0,0.0,0,0.39005545,1
70,341,26,107,17,3,3,75,6,0,0,2,1,9,-8,0,18.4,18.4,18000,363816,3,2811.08,2,70.0,15749.4,1,4,2,57,10850.0,1.0,2,0.144843321,1
75,279,1,71,26,0,0,100,-7,3,0,1,1,55,87,1,9.25,9.25,20000,41312,3,1467.54,2,84.6,19357.88,0,3,2,54,4933.0,2.0,2,0.785375811,1
59,183,47,133,2,4,4,40,13,0,0,1,1,-8,-8,-8,30.48,30.48,20000,45421,1,2950.9,0,90.0,18318.76,0,9,6,37,1200.0,1.0,0,0.9999999,1
75,336,9,98,22,1,0,91,13,1,0,0,0,16,91,0,44.54,0.0,15600,349300,13,1543.62,4,91.2,14502.33,0,11,5,46,4500.0,0.0,1,0.90992804,1
64,142,1,34,12,2,2,85,35,6,0,2,2,24,67,0,18.14,18.14,40000,327606,4,3571.96,2,96.9,36904.08,0,23,7,30,6400.0,0.0,0,0.7509038,1
67,188,7,123,21,0,0,77,36,3,0,1,1,68,-8,2,13.61,13.61,5000,430540,3,765.02,2,96.6,4364.17,0,50,18,60,4500.0,1.0,3,0.965370004,1
62,54,8,26,6,0,0,86,40,2,0,0,0,65,79,-8,9.07,9.07,4000,169160,1,399.29,2,62.5,3721.1,0,4,1,49,1479.0,1.0,1,0.886113886,1
65,106,5,42,11,1,0,92,22,3,0,2,2,60,-8,1,14.42,14.42,22250,592574,5,2321.53,3,95.7,20768.85,0,16,6,77,3500.0,0.0,1,0.026134003,1
63,324,8,119,30,1,1,70,3,2,1,1,1,12,77,1,18.78,18.78,7200,132026,2,826.87,1,60.0,6775.35,0,11,4,34,3500.0,0.0,0,0.9999999,1
69,226,2,29,1,0,0,100,-7,1,-7,2,2,85,-8,1,8.47,8.47,18125,18100,0,18200.2628125,0,90.0,0.0,0,9,5,59,11166.0,0.0,1,0.91160442,1
66,322,17,102,28,0,0,100,-7,0,0,1,1,67,72,3,51.94,0.0,9500,35475,2,1023.25,1,87.0,8869.78,0,17,5,47,3100.0,0.0,1,0.9999999,1
70,373,4,101,23,0,0,96,7,4,0,5,5,49,100,0,3.18,3.18,35000,484800,1,3718.73,3,90.9,33643.67,0,17,5,33,3500.0,0.0,0,0.982007197,1
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,14.24,14.24,3000,95184,2,467.19,3,85.7,2624.82,0,9,3,42,5500.0,3.0,0,0.978556747,1
59,180,5,55,45,1,1,80,0,6,1,2,2,20,87,0,17.04,17.04,35000,48993,1,3133.74,0,68.8,33287.27,0,12,3,32,0.0,0.0,1,0.794557906,1
77,223,3,61,22,0,0,100,-7,4,2,3,3,44,97,2,9.07,0.0,5000,39100,0,641.96,0,95.5,4514.8,0,21,7,44,11600.0,4.0,1,0.941360056,1
66,229,7,112,28,1,1,84,18,2,5,0,0,72,83,1,18.14,18.14,40000,327606,4,3571.96,2,96.9,36904.08,0,23,7,70,7601.0,0.0,1,0.978174126,1
60,85,14,54,16,3,3,68,25,0,2,1,1,23,49,2,9.63,9.63,35000,886199,3,5960.52,2,96.9,30972.01,1,16,4,56,5000.0,0.0,1,0.115538948,1
62,-8,9,42,10,2,1,83,5,2,1,1,1,14,90,1,17.48,17.48,30000,692921,2,4137.3,4,93.9,27196.8,1,38,19,65,11558.0,0.0,0,0.9999999,1
58,30,15,24,4,0,0,25,3,0,0,0,0,-8,-8,-8,12.6,12.6,14775,299375,1,2406.49,1,92.9,12999.2,0,9,6,44,3300.0,5.0,1,0.9999999,1
77,275,0,63,15,1,0,89,29,4,0,2,2,18,-8,0,10.42,10.42,6025,444543,1,645.22,2,36.4,5639.47,0,5,5,26,3850.0,0.0,0,0.960026649,1
65,121,9,48,20,1,1,95,14,1,0,0,0,49,42,0,12.91,12.91,15000,509031,3,1145.4,3,84.6,14543.17,0,4,2,47,10000.0,1.0,2,0.63545461,1
56,158,2,55,31,0,0,82,2,5,0,9,9,0,96,1,10.13,10.13,10000,10000,0,1823.03,0,87.5,8925.78,0,8,4,79,6666.0,1.0,0,0.025566783,1
74,103,2,26,6,0,0,100,-7,4,0,3,3,36,-8,1,11.44,11.44,3500,22081,2,346.94,0,84.8,3255.95,0,17,8,24,0.0,0.0,0,0.9999999,1
73,147,24,90,14,1,1,87,15,0,0,0,0,50,35,1,38.73,38.73,28000,429460,2,3133.53,2,91.7,26297.36,2,16,7,39,7500.0,2.0,3,0.839920949,1
68,225,4,94,20,1,0,86,6,1,0,9,9,35,65,1,5.57,5.57,8000,7100,0,1041.43,0,80.0,7234.29,0,6,2,29,0.0,0.0,0,1.0,1
68,132,9,65,34,0,0,100,-7,2,6,0,0,50,88,4,12.16,12.16,15000,520306,15,1817.39,2,93.1,13464.86,0,10,2,52,4265.0,1.0,1,0.853132676,1
64,326,9,142,26,1,0,81,8,2,-7,2,2,21,52,1,15.78,15.78,24000,433654,1,2390.77,4,94.4,22311.29,0,6,3,49,7872.0,0.0,1,1.0,1
